Price
30013.00
30285.00
30280.00
30462.00
30389.00
29876.00
30190.00
29614.00
28320.00
27901.00
27889.00
28018.00
28153.00
28153.00
27790.00
28173.00
28443.00
28460.00
28017.00
28344.00
27265.00
27129.00
27986.00
27482.00
27458.00
28304.00
27263.00
28112.00
27712.00
27936.00
26913.00
27350.00
25057.00
24321.00
24744.00
24187.00
22079.00
20538.00
20201.00
20378.00
21712.00
22209.00
22404.00
22431.00
22346.00
22363.00
23472.00
23646.00
23134.00
23504.00
23560.00
23177.00
23201.00
23947.00
24186.00
24460.00
24831.00
24294.00
24633.00
24579.00
23535.00
24318.00
22198.00
21773.00
21796.00
21866.00
21643.00
21800.00
22959.00
23251.00
22755.00
22936.00
23315.00
23433.00
23485.00
23723.00
23135.00
22837.00
23746.00
23029.00
23067.00
23004.00
23045.00
22627.00
22910.00
22713.00
22766.00
22672.00
21080.00
20678.00
21136.00
21196.00
20882.00
20963.00
19933.00
18857.00
17946.00
17445.00
17188.00
17139.00
16958.00
16967.00
16842.00
16868.00
16689.00
16690.00
16643.00
